CouncilArea,Suburb,DateMonth,avg_price
Bayside,Beaumaris,1/01/2016,1802798
Bayside,Beaumaris,1/02/2016,1802798
Bayside,Beaumaris,1/03/2016,1802798
Bayside,Beaumaris,1/04/2016,1802798
Bayside,Beaumaris,1/05/2016,1802798
Bayside,Beaumaris,1/06/2016,1802798
Bayside,Beaumaris,1/07/2016,1802798
Bayside,Beaumaris,1/08/2016,1802798
Bayside,Beaumaris,1/09/2016,1802798
Bayside,Beaumaris,1/10/2016,1802798
Bayside,Beaumaris,1/11/2016,1802798
Bayside,Beaumaris,1/12/2016,1802798
Bayside,Beaumaris,1/01/2017,1802798
Bayside,Beaumaris,1/02/2017,1802798
Bayside,Beaumaris,1/03/2017,1802798
Bayside,Beaumaris,1/04/2017,1802798
Bayside,Beaumaris,1/05/2017,2364375
Bayside,Beaumaris,1/06/2017,1733458
Bayside,Beaumaris,1/07/2017,1373575
Bayside,Beaumaris,1/08/2017,1860200
Bayside,Beaumaris,1/09/2017,1682379
Bayside,Beaumaris,1/10/2017,1802798
Bayside,Beaumaris,1/11/2017,1802798
Bayside,Beaumaris,1/12/2017,1802798
Bayside,Black Rock,1/01/2016,1189977
Bayside,Black Rock,1/02/2016,1189977
Bayside,Black Rock,1/03/2016,1189977
Bayside,Black Rock,1/04/2016,1189977
Bayside,Black Rock,1/05/2016,1189977
Bayside,Black Rock,1/06/2016,1189977
Bayside,Black Rock,1/07/2016,1189977
Bayside,Black Rock,1/08/2016,1189977
Bayside,Black Rock,1/09/2016,1189977
Bayside,Black Rock,1/10/2016,1189977
Bayside,Black Rock,1/11/2016,1189977
Bayside,Black Rock,1/12/2016,1189977
Bayside,Black Rock,1/01/2017,1189977
Bayside,Black Rock,1/02/2017,1189977
Bayside,Black Rock,1/03/2017,1189977
Bayside,Black Rock,1/04/2017,1189977
Bayside,Black Rock,1/05/2017,851750
Bayside,Black Rock,1/06/2017,1165333
Bayside,Black Rock,1/07/2017,907500
Bayside,Black Rock,1/08/2017,1386089
Bayside,Black Rock,1/09/2017,1639214
Bayside,Black Rock,1/10/2017,1189977
Bayside,Black Rock,1/11/2017,1189977
Bayside,Black Rock,1/12/2017,1189977
Bayside,Brighton,1/01/2016,1953745
Bayside,Brighton,1/02/2016,1953745
Bayside,Brighton,1/03/2016,1953745
Bayside,Brighton,1/04/2016,1658295
Bayside,Brighton,1/05/2016,1750894
Bayside,Brighton,1/06/2016,2023238
Bayside,Brighton,1/07/2016,1843903
Bayside,Brighton,1/08/2016,1907993
Bayside,Brighton,1/09/2016,1832204
Bayside,Brighton,1/10/2016,1633788
Bayside,Brighton,1/11/2016,2055337
Bayside,Brighton,1/12/2016,2246517
Bayside,Brighton,1/01/2017,1953745
Bayside,Brighton,1/02/2017,1864472
Bayside,Brighton,1/03/2017,2165169
Bayside,Brighton,1/04/2017,2499042
Bayside,Brighton,1/05/2017,2060880
Bayside,Brighton,1/06/2017,1857148
Bayside,Brighton,1/07/2017,1573093
Bayside,Brighton,1/08/2017,2177673
Bayside,Brighton,1/09/2017,2064011
Bayside,Brighton,1/10/2017,1953745
Bayside,Brighton,1/11/2017,1953745
Bayside,Brighton,1/12/2017,1953745
Bayside,Brighton East,1/01/2016,1595746
Bayside,Brighton East,1/02/2016,1595746
Bayside,Brighton East,1/03/2016,1595746
Bayside,Brighton East,1/04/2016,1701288
Bayside,Brighton East,1/05/2016,1517331
Bayside,Brighton East,1/06/2016,1891280
Bayside,Brighton East,1/07/2016,909000
Bayside,Brighton East,1/08/2016,1620469
Bayside,Brighton East,1/09/2016,1683902
Bayside,Brighton East,1/10/2016,1945918
Bayside,Brighton East,1/11/2016,1697062
Bayside,Brighton East,1/12/2016,1633779
Bayside,Brighton East,1/01/2017,1595746
Bayside,Brighton East,1/02/2017,1515293
