Suburb,avg_price
Abbotsford,1056627.4038461538
Aberfeldie,1289305.6
Airport West,716260.1941747572
Albanvale,532416.7777777778
Albert Park,2000214.6732673268
Albion,620906.0212765958
Alphington,1412542.0847457626
Altona,839815.8775510204
Altona Meadows,683337.0909090909
Altona North,772276.8015873015
Ardeer,651750
Armadale,1650976.1657458562
Ascot Vale,1061466.349206349
Ashburton,1640753.2777777778
Ashwood,1142893.1057692308
Aspendale,1211981.7
Aspendale Gardens,835000
Attwood,640000
Avondale Heights,831434.7477477477
Balaclava,757689.1428571428
Balwyn,1871464.9117647058
Balwyn North,1770187.607973422
Bayswater,720075.04
Bayswater North,730812.8571428572
Beaconsfield,581333.3333333334
Beaconsfield Upper,675000
Beaumaris,1691395.125
Bellfield,807613
Bentleigh,1278031.6837606838
Bentleigh East,1108308.5976470588
Berwick,789214.2857142857
Black Rock,1344441.5454545454
Blackburn,1325028.125
Blackburn North,1121931.6153846155
Blackburn South,1087250.6666666667
Bonbeach,1078200
Boronia,763144.8260869565
Box Hill,1292484.7816091955
Braybrook,665134.690140845
Briar Hill,743075
Brighton,1993757.6169590643
Brighton East,1635879.855670103
Broadmeadows,538847.1891891892
Brookfield,456000
Brooklyn,613060.9677419355
Brunswick,968400.2279635258
Brunswick East,891373.0137931034
Brunswick West,801989.9832402235
Bulleen,1159692.8240740742
Bundoora,806300.231884058
Burnley,1048001.1111111111
Burnside,618750
Burnside Heights,575050
Burwood,1222135.9337016575
Burwood East,1080598.75
Cairnlea,676824.2727272727
Camberwell,1910337.771043771
Campbellfield,650000
Canterbury,2359140.820754717
Carlton,1025655.5833333334
Carlton North,1450164.0909090908
Carnegie,919505.4224137932
Caroline Springs,631880.3076923077
Carrum,723195.2666666667
Carrum Downs,545879.0588235294
Caulfield,702242.5882352941
Caulfield East,958722.25
Caulfield North,1043784.4915254237
Caulfield South,1217395.7142857143
Chadstone,1002266.414893617
Chelsea,802762
Chelsea Heights,749625
Cheltenham,999876.0149253731
