Suburb,DateMonth,avg_price
Abbotsford,1/02/2016,1136041.50
Abbotsford,1/04/2016,968541.50
Abbotsford,1/05/2016,1024729.00
Abbotsford,1/06/2016,1066666.67
Abbotsford,1/07/2016,1023041.50
Abbotsford,1/08/2016,1013658.00
Abbotsford,1/09/2016,1081108.00
Abbotsford,1/10/2016,947142.86
Abbotsford,1/11/2016,1089893.82
Abbotsford,1/12/2016,914608.00
Abbotsford,1/02/2017,1180666.67
Abbotsford,1/03/2017,1145347.17
Abbotsford,1/04/2017,1204502.14
Abbotsford,1/05/2017,1042940.43
Abbotsford,1/06/2017,695000.00
Abbotsford,1/07/2017,975073.57
Abbotsford,1/08/2017,1245536.89
Abbotsford,1/09/2017,1024086.40
Aberfeldie,1/04/2016,1227816.00
Aberfeldie,1/05/2016,1264728.60
Aberfeldie,1/06/2016,1687762.00
Aberfeldie,1/09/2016,1006500.00
Aberfeldie,1/10/2016,1590333.33
Aberfeldie,1/11/2016,1009666.67
Aberfeldie,1/12/2016,1708333.33
Aberfeldie,1/02/2017,1233750.00
Aberfeldie,1/03/2017,955333.33
Aberfeldie,1/04/2017,1263896.43
Aberfeldie,1/05/2017,1800833.33
Aberfeldie,1/06/2017,858500.00
Aberfeldie,1/07/2017,1169969.33
Aberfeldie,1/08/2017,1683333.33
Aberfeldie,1/09/2017,1275142.86
Airport West,1/04/2016,746000.00
Airport West,1/05/2016,655000.00
Airport West,1/06/2016,465000.00
Airport West,1/07/2016,626937.50
Airport West,1/08/2016,651166.67
Airport West,1/09/2016,780125.00
Airport West,1/10/2016,629833.33
Airport West,1/11/2016,712062.50
Airport West,1/12/2016,765000.00
Airport West,1/02/2017,746028.67
Airport West,1/03/2017,694898.44
Airport West,1/04/2017,742214.29
Airport West,1/05/2017,790666.67
Airport West,1/06/2017,842994.38
Airport West,1/07/2017,708470.18
Airport West,1/08/2017,804250.00
Airport West,1/09/2017,777000.13
Albanvale,1/06/2017,529458.50
Albanvale,1/07/2017,555000.00
Albanvale,1/08/2017,504000.00
Albanvale,1/09/2017,542458.50
Albert Park,1/04/2016,2050000.00
Albert Park,1/05/2016,1809004.67
Albert Park,1/06/2016,2042155.60
Albert Park,1/07/2016,2268000.00
Albert Park,1/08/2016,1706622.20
Albert Park,1/09/2016,1916326.40
Albert Park,1/10/2016,1901466.60
Albert Park,1/11/2016,1638155.60
Albert Park,1/12/2016,1908333.33
Albert Park,1/02/2017,2079625.00
Albert Park,1/03/2017,2099873.00
Albert Park,1/04/2017,2093750.00
Albert Park,1/05/2017,2157670.90
Albert Park,1/06/2017,1987708.33
Albert Park,1/07/2017,2688125.00
Albert Park,1/08/2017,2371666.67
Albert Park,1/09/2017,1841444.50
Albion,1/02/2016,765000.00
Albion,1/05/2016,600000.00
Albion,1/06/2016,567000.00
Albion,1/07/2016,325000.00
Albion,1/08/2016,185000.00
Albion,1/09/2016,567500.00
Albion,1/10/2016,657250.00
Albion,1/11/2016,800000.00
Albion,1/12/2016,720000.00
Albion,1/02/2017,591833.33
Albion,1/03/2017,715000.00
Albion,1/04/2017,800000.00
Albion,1/05/2017,537000.00
Albion,1/06/2017,784333.33
Albion,1/07/2017,525750.00
Albion,1/08/2017,665833.00
Albion,1/09/2017,760875.00
Alphington,1/04/2016,1781146.00
Alphington,1/05/2016,768147.75
Alphington,1/06/2016,1525000.00
Alphington,1/07/2016,1630000.00
Alphington,1/08/2016,1956823.00
Alphington,1/09/2016,1259397.75
Alphington,1/10/2016,1673833.33
Alphington,1/11/2016,1374437.50
Alphington,1/02/2017,1298430.67
Alphington,1/03/2017,1156000.00
Alphington,1/04/2017,1540000.00
Alphington,1/05/2017,963200.00
Alphington,1/06/2017,1795382.00
Alphington,1/07/2017,1623976.60
Alphington,1/08/2017,983000.00
Alphington,1/09/2017,1313350.00
Altona,1/02/2016,720000.00
Altona,1/04/2016,661666.67
Altona,1/05/2016,807157.14
Altona,1/06/2016,1104333.33
Altona,1/07/2016,557800.00
Altona,1/08/2016,747642.86
Altona,1/09/2016,647400.00
Altona,1/10/2016,740400.00
Altona,1/11/2016,818916.67
Altona,1/12/2016,1065000.00
Altona,1/02/2017,705187.11
Altona,1/03/2017,908666.67
Altona,1/04/2017,822979.60
Altona,1/05/2017,1193000.00
Altona,1/06/2017,883755.14
Altona,1/07/2017,950978.55
Altona,1/08/2017,871321.45
Altona,1/09/2017,819681.33
Altona Meadows,1/06/2017,820000.00
Altona Meadows,1/07/2017,559375.00
Altona Meadows,1/08/2017,810000.00
Altona Meadows,1/09/2017,701430.50
Altona North,1/04/2016,590000.00
Altona North,1/05/2016,712000.00
Altona North,1/06/2016,703473.82
Altona North,1/07/2016,750625.00
Altona North,1/08/2016,701158.70
Altona North,1/09/2016,826601.71
Altona North,1/10/2016,804750.00
Altona North,1/11/2016,730537.69
Altona North,1/12/2016,703319.50
Altona North,1/02/2017,769958.33
Altona North,1/03/2017,783479.17
Altona North,1/04/2017,799070.67
Altona North,1/05/2017,821625.00
Altona North,1/06/2017,819023.56
Altona North,1/07/2017,814900.92
Altona North,1/08/2017,841166.67
Altona North,1/09/2017,900458.86
Ardeer,1/05/2017,651750.00
Ardeer,1/06/2017,651750.00
Ardeer,1/07/2017,636000.00
Ardeer,1/08/2017,730000.00
Ardeer,1/09/2017,636166.67
Armadale,1/04/2016,1894135.80
Armadale,1/05/2016,1646802.00
Armadale,1/06/2016,1756465.00
Armadale,1/07/2016,958984.86
Armadale,1/08/2016,1312012.20
Armadale,1/09/2016,2019815.60
Armadale,1/10/2016,1910187.50
Armadale,1/11/2016,2026238.40
Armadale,1/12/2016,1407513.77
Armadale,1/02/2017,1524586.86
Armadale,1/03/2017,1515272.13
Armadale,1/04/2017,1031830.44
Armadale,1/05/2017,1629191.14
Armadale,1/06/2017,2305438.71
Armadale,1/07/2017,734142.43
Armadale,1/08/2017,1702781.22
Armadale,1/09/2017,2105063.28
Ascot Vale,1/02/2016,895000.00
Ascot Vale,1/04/2016,1159800.00
Ascot Vale,1/05/2016,1025765.71
Ascot Vale,1/06/2016,859590.91
Ascot Vale,1/07/2016,1085111.11
Ascot Vale,1/08/2016,1121500.00
Ascot Vale,1/09/2016,984075.00
Ascot Vale,1/10/2016,1032624.44
Ascot Vale,1/11/2016,1001156.00
Ascot Vale,1/12/2016,953460.00
Ascot Vale,1/02/2017,1018585.71
Ascot Vale,1/03/2017,1247666.67
Ascot Vale,1/04/2017,1182340.00
Ascot Vale,1/05/2017,1212388.24
Ascot Vale,1/06/2017,1190177.50
Ascot Vale,1/07/2017,992848.00
Ascot Vale,1/08/2017,1275183.33
Ascot Vale,1/09/2017,915261.11
Ashburton,1/02/2016,1506365.00
Ashburton,1/04/2016,1471932.50
Ashburton,1/05/2016,1642380.70
Ashburton,1/06/2016,1421818.33
Ashburton,1/07/2016,1440000.00
Ashburton,1/08/2016,1694825.88
Ashburton,1/09/2016,1914125.00
Ashburton,1/10/2016,1364800.00
Ashburton,1/11/2016,1503103.50
Ashburton,1/12/2016,1578961.43
Ashburton,1/02/2017,1712031.13
Ashburton,1/03/2017,1758943.86
Ashburton,1/04/2017,1543277.50
Ashburton,1/05/2017,1796773.00
Ashburton,1/06/2017,1991655.18
Ashburton,1/07/2017,1464510.00
Ashburton,1/08/2017,1674563.18
Ashburton,1/09/2017,1497861.00
Ashwood,1/02/2016,1094856.00
Ashwood,1/04/2016,997318.25
Ashwood,1/05/2016,1159795.50
Ashwood,1/06/2016,1021942.67
Ashwood,1/07/2016,1192208.50
Ashwood,1/08/2016,1137018.43
Ashwood,1/09/2016,1146530.33
Ashwood,1/10/2016,1401171.20
Ashwood,1/11/2016,1044536.55
Ashwood,1/12/2016,1042942.40
Ashwood,1/02/2017,1156883.40
Ashwood,1/03/2017,1085631.00
Ashwood,1/04/2017,1117571.43
Ashwood,1/05/2017,1138892.78
Ashwood,1/06/2017,1270000.00
Ashwood,1/07/2017,1283833.33
Ashwood,1/08/2017,1253333.33
Ashwood,1/09/2017,1154733.40
Aspendale,1/05/2017,1610000.00
Aspendale,1/06/2017,1040250.00
Aspendale,1/07/2017,1019694.50
Aspendale,1/08/2017,1495700.00
Aspendale,1/09/2017,1174223.86
Aspendale Gardens,1/07/2017,840000.00
Aspendale Gardens,1/09/2017,832500.00
Attwood,1/06/2017,640000.00
Attwood,1/09/2017,640000.00
Avondale Heights,1/04/2016,713100.00
Avondale Heights,1/05/2016,931657.44
Avondale Heights,1/06/2016,977500.00
Avondale Heights,1/07/2016,714250.00
Avondale Heights,1/08/2016,724677.13
Avondale Heights,1/09/2016,748611.11
Avondale Heights,1/10/2016,794101.89
