Suburb,Month,Year,avg_price
ABBOTSFORD,February,2016,1136041.5
ABBOTSFORD,April,2016,968541.5
ABBOTSFORD,May,2016,1024729
ABBOTSFORD,June,2016,1066666.667
ABBOTSFORD,July,2016,1023041.5
ABBOTSFORD,August,2016,1013658
ABBOTSFORD,September,2016,1081108
ABBOTSFORD,October,2016,947142.8571
ABBOTSFORD,November,2016,1089893.818
ABBOTSFORD,December,2016,914608
ABBOTSFORD,February,2017,1180666.667
ABBOTSFORD,March,2017,1145347.167
ABBOTSFORD,April,2017,1204502.143
ABBOTSFORD,May,2017,1042940.429
ABBOTSFORD,June,2017,695000
ABBOTSFORD,July,2017,975073.5714
ABBOTSFORD,August,2017,1245536.889
ABBOTSFORD,September,2017,1024086.4
ABERFELDIE,April,2016,1227816
ABERFELDIE,May,2016,1264728.6
ABERFELDIE,June,2016,1687762
ABERFELDIE,September,2016,1006500
ABERFELDIE,October,2016,1590333.333
ABERFELDIE,November,2016,1009666.667
ABERFELDIE,December,2016,1708333.333
ABERFELDIE,February,2017,1233750
ABERFELDIE,March,2017,955333.3333
ABERFELDIE,April,2017,1263896.429
ABERFELDIE,May,2017,1800833.333
ABERFELDIE,June,2017,858500
ABERFELDIE,July,2017,1169969.333
ABERFELDIE,August,2017,1683333.333
ABERFELDIE,September,2017,1275142.857
AIRPORT WEST,April,2016,746000
AIRPORT WEST,May,2016,655000
AIRPORT WEST,June,2016,465000
AIRPORT WEST,July,2016,626937.5
AIRPORT WEST,August,2016,651166.6667
AIRPORT WEST,September,2016,780125
AIRPORT WEST,October,2016,629833.3333
AIRPORT WEST,November,2016,712062.5
AIRPORT WEST,December,2016,765000
AIRPORT WEST,February,2017,746028.6667
AIRPORT WEST,March,2017,694898.4444
AIRPORT WEST,April,2017,742214.2857
AIRPORT WEST,May,2017,790666.6667
AIRPORT WEST,June,2017,842994.375
AIRPORT WEST,July,2017,708470.1818
AIRPORT WEST,August,2017,804250
AIRPORT WEST,September,2017,777000.125
ALBANVALE,June,2017,529458.5
ALBANVALE,July,2017,555000
ALBANVALE,August,2017,504000
ALBANVALE,September,2017,542458.5
ALBERT PARK,April,2016,2050000
ALBERT PARK,May,2016,1809004.667
ALBERT PARK,June,2016,2042155.6
ALBERT PARK,July,2016,2268000
ALBERT PARK,August,2016,1706622.2
ALBERT PARK,September,2016,1916326.4
ALBERT PARK,October,2016,1901466.6
ALBERT PARK,November,2016,1638155.6
ALBERT PARK,December,2016,1908333.333
ALBERT PARK,February,2017,2079625
ALBERT PARK,March,2017,2099873
ALBERT PARK,April,2017,2093750
ALBERT PARK,May,2017,2157670.9
ALBERT PARK,June,2017,1987708.333
ALBERT PARK,July,2017,2688125
ALBERT PARK,August,2017,2371666.667
ALBERT PARK,September,2017,1841444.5
ALBION,February,2016,765000
ALBION,May,2016,600000
ALBION,June,2016,567000
ALBION,July,2016,325000
ALBION,August,2016,185000
ALBION,September,2016,567500
ALBION,October,2016,657250
ALBION,November,2016,800000
ALBION,December,2016,720000
ALBION,February,2017,591833.3333
ALBION,March,2017,715000
ALBION,April,2017,800000
ALBION,May,2017,537000
ALBION,June,2017,784333.3333
ALBION,July,2017,525750
ALBION,August,2017,665833
ALBION,September,2017,760875
ALPHINGTON,April,2016,1781146
ALPHINGTON,May,2016,768147.75
ALPHINGTON,June,2016,1525000
ALPHINGTON,July,2016,1630000
ALPHINGTON,August,2016,1956823
ALPHINGTON,September,2016,1259397.75
ALPHINGTON,October,2016,1673833.333
ALPHINGTON,November,2016,1374437.5
ALPHINGTON,February,2017,1298430.667
ALPHINGTON,March,2017,1156000
ALPHINGTON,April,2017,1540000
ALPHINGTON,May,2017,963200
ALPHINGTON,June,2017,1795382
ALPHINGTON,July,2017,1623976.6
ALPHINGTON,August,2017,983000
ALPHINGTON,September,2017,1313350
ALTONA,February,2016,720000
ALTONA,April,2016,661666.6667
ALTONA,May,2016,807157.1429
ALTONA,June,2016,1104333.333
ALTONA,July,2016,557800
ALTONA,August,2016,747642.8571
ALTONA,September,2016,647400
ALTONA,October,2016,740400
ALTONA,November,2016,818916.6667
ALTONA,December,2016,1065000
ALTONA,February,2017,705187.1111
ALTONA,March,2017,908666.6667
ALTONA,April,2017,822979.6
ALTONA,May,2017,1193000
ALTONA,June,2017,883755.1429
ALTONA,July,2017,950978.5455
ALTONA,August,2017,871321.4545
ALTONA,September,2017,819681.3333
ALTONA MEADOWS,June,2017,820000
ALTONA MEADOWS,July,2017,559375
ALTONA MEADOWS,August,2017,810000
ALTONA MEADOWS,September,2017,701430.5
ALTONA NORTH,April,2016,590000
ALTONA NORTH,May,2016,712000
ALTONA NORTH,June,2016,703473.8182
ALTONA NORTH,July,2016,750625
ALTONA NORTH,August,2016,701158.7
ALTONA NORTH,September,2016,826601.7143
ALTONA NORTH,October,2016,804750
ALTONA NORTH,November,2016,730537.6923
ALTONA NORTH,December,2016,703319.5
ALTONA NORTH,February,2017,769958.3333
ALTONA NORTH,March,2017,783479.1667
ALTONA NORTH,April,2017,799070.6667
ALTONA NORTH,May,2017,821625
ALTONA NORTH,June,2017,819023.5556
ALTONA NORTH,July,2017,814900.9231
ALTONA NORTH,August,2017,841166.6667
ALTONA NORTH,September,2017,900458.8571
ARDEER,May,2017,651750
ARDEER,June,2017,651750
ARDEER,July,2017,636000
ARDEER,August,2017,730000
ARDEER,September,2017,636166.6667
ARMADALE,April,2016,1894135.8
ARMADALE,May,2016,1646802
ARMADALE,June,2016,1756465
ARMADALE,July,2016,958984.8571
