Price,Regionname
937432,Northern Metropolitan
1480000,Northern Metropolitan
1035000,Northern Metropolitan
1237083,Northern Metropolitan
1465000,Northern Metropolitan
850000,Northern Metropolitan
1600000,Northern Metropolitan
1596400,Northern Metropolitan
937432,Northern Metropolitan
937432,Northern Metropolitan
941000,Northern Metropolitan
1876000,Northern Metropolitan
937432,Northern Metropolitan
1596400,Northern Metropolitan
1636000,Northern Metropolitan
1000000,Northern Metropolitan
745000,Northern Metropolitan
300000,Northern Metropolitan
1097000,Northern Metropolitan
542000,Northern Metropolitan
937432,Northern Metropolitan
760000,Northern Metropolitan
481000,Northern Metropolitan
700000,Northern Metropolitan
1350000,Northern Metropolitan
750000,Northern Metropolitan
1985000,Northern Metropolitan
500000,Northern Metropolitan
1172500,Northern Metropolitan
441000,Northern Metropolitan
1310000,Northern Metropolitan
1237083,Northern Metropolitan
1200000,Northern Metropolitan
847000,Northern Metropolitan
937432,Northern Metropolitan
1176500,Northern Metropolitan
955000,Northern Metropolitan
890000,Northern Metropolitan
1330000,Northern Metropolitan
1237083,Northern Metropolitan
900000,Northern Metropolitan
1090000,Northern Metropolitan
500000,Northern Metropolitan
1100000,Northern Metropolitan
1315000,Northern Metropolitan
480000,Northern Metropolitan
423500,Northern Metropolitan
1596400,Northern Metropolitan
426000,Northern Metropolitan
1447500,Northern Metropolitan
457000,Northern Metropolitan
1135000,Northern Metropolitan
700000,Northern Metropolitan
1542000,Northern Metropolitan
962000,Northern Metropolitan
1290000,Northern Metropolitan
1290000,Northern Metropolitan
470000,Northern Metropolitan
1180000,Northern Metropolitan
1195000,Northern Metropolitan
937432,Northern Metropolitan
1012500,Northern Metropolitan
970000,Northern Metropolitan
1030000,Northern Metropolitan
1596400,Northern Metropolitan
927000,Northern Metropolitan
840000,Western Metropolitan
730000,Western Metropolitan
770000,Western Metropolitan
766086,Western Metropolitan
603000,Western Metropolitan
700000,Western Metropolitan
600000,Western Metropolitan
500000,Western Metropolitan
420000,Western Metropolitan
500000,Western Metropolitan
720000,Western Metropolitan
725000,Western Metropolitan
450000,Western Metropolitan
515000,Western Metropolitan
680000,Western Metropolitan
530000,Western Metropolitan
895000,Western Metropolitan
600000,Western Metropolitan
805000,Western Metropolitan
760000,Western Metropolitan
752000,Western Metropolitan
580000,Western Metropolitan
725000,Western Metropolitan
440000,Western Metropolitan
970000,Western Metropolitan
700000,Western Metropolitan
509500,Western Metropolitan
830000,Western Metropolitan
462500,Western Metropolitan
670000,Western Metropolitan
675000,Western Metropolitan
1042000,Western Metropolitan
910000,Western Metropolitan
773000,Western Metropolitan
715000,Western Metropolitan
810000,Western Metropolitan
715000,Western Metropolitan
790000,Western Metropolitan
460000,Western Metropolitan
540000,Western Metropolitan
825000,Western Metropolitan
685000,Western Metropolitan
445000,Western Metropolitan
805000,Western Metropolitan
510000,Western Metropolitan
612000,Western Metropolitan
662000,Western Metropolitan
978000,Western Metropolitan
766086,Western Metropolitan
720000,Western Metropolitan
474000,Western Metropolitan
490000,Western Metropolitan
405000,Western Metropolitan
715000,Western Metropolitan
671500,Western Metropolitan
765000,Western Metropolitan
900000,Western Metropolitan
820000,Western Metropolitan
650000,Western Metropolitan
552000,Western Metropolitan
1275000,Southern Metropolitan
1455000,Southern Metropolitan
2850000,Southern Metropolitan
1850000,Southern Metropolitan
1562333,Southern Metropolitan
1436000,Southern Metropolitan
2090778,Southern Metropolitan
1110000,Southern Metropolitan
1550000,Southern Metropolitan
2300000,Southern Metropolitan
2090778,Southern Metropolitan
1550000,Southern Metropolitan
1800000,Southern Metropolitan
2485000,Southern Metropolitan
2120000,Southern Metropolitan
1800000,Southern Metropolitan
1800000,Southern Metropolitan
2090778,Southern Metropolitan
1810000,Southern Metropolitan
2615000,Southern Metropolitan
1300000,Southern Metropolitan
1370000,Southern Metropolitan
1000000,Southern Metropolitan
1562333,Southern Metropolitan
2575000,Southern Metropolitan
1322500,Southern Metropolitan
1562333,Southern Metropolitan
1562500,Southern Metropolitan
2000000,Southern Metropolitan
2969375,Southern Metropolitan
2090778,Southern Metropolitan
1900000,Southern Metropolitan
3010000,Southern Metropolitan
2090778,Southern Metropolitan
2800000,Southern Metropolitan
2090778,Southern Metropolitan
647000,Southern Metropolitan
2090778,Southern Metropolitan
2100000,Southern Metropolitan
2090778,Southern Metropolitan
1562333,Southern Metropolitan
2000000,Southern Metropolitan
442500,Southern Metropolitan
1340000,Southern Metropolitan
1801000,Southern Metropolitan
1532000,Southern Metropolitan
3755000,Southern Metropolitan
2140000,Southern Metropolitan
1810000,Southern Metropolitan
1750000,Southern Metropolitan
980000,Southern Metropolitan
1562333,Southern Metropolitan
2969375,Southern Metropolitan
2090778,Southern Metropolitan
2030000,Southern Metropolitan
1740000,Southern Metropolitan
2800000,Southern Metropolitan
985000,Southern Metropolitan
1337591,Northern Metropolitan
2000000,Northern Metropolitan
1110000,Northern Metropolitan
1492000,Northern Metropolitan
480000,Northern Metropolitan
1337591,Northern Metropolitan
1304000,Northern Metropolitan
1717500,Northern Metropolitan
2840000,Northern Metropolitan
2840000,Northern Metropolitan
525500,Northern Metropolitan
805000,Northern Metropolitan
465000,Northern Metropolitan
2022292,Northern Metropolitan
1480000,Northern Metropolitan
2000000,Northern Metropolitan
1540000,Northern Metropolitan
2022292,Northern Metropolitan
590000,Northern Metropolitan
820000,Northern Metropolitan
1830000,Northern Metropolitan
2100000,Northern Metropolitan
865000,Northern Metropolitan
390000,Northern Metropolitan
512000,Northern Metropolitan
1361000,Northern Metropolitan
2022292,Northern Metropolitan
1310000,Northern Metropolitan
570000,Northern Metropolitan
1165000,Northern Metropolitan
530000,Northern Metropolitan
1900000,Northern Metropolitan
2840000,Northern Metropolitan
1485000,Northern Metropolitan
1950000,Northern Metropolitan
520000,Western Metropolitan
1525000,Western Metropolitan
720000,Western Metropolitan
1120000,Western Metropolitan
780000,Western Metropolitan
1780000,Western Metropolitan
630000,Western Metropolitan
406000,Western Metropolitan
660000,Western Metropolitan
683500,Western Metropolitan
540000,Western Metropolitan
580000,Western Metropolitan
1335000,Western Metropolitan
800000,Western Metropolitan
510000,Western Metropolitan
1070000,Western Metropolitan
425000,Western Metropolitan
605000,Western Metropolitan
705000,Western Metropolitan
391000,Western Metropolitan
440000,Western Metropolitan
845000,Western Metropolitan
766000,Western Metropolitan
743000,Western Metropolitan
650000,Western Metropolitan
730000,Western Metropolitan
916500,Western Metropolitan
635000,Western Metropolitan
620000,Western Metropolitan
447000,Western Metropolitan
730000,Western Metropolitan
678000,Western Metropolitan
580000,Western Metropolitan
712000,Western Metropolitan
840000,Western Metropolitan
980000,Western Metropolitan
1000000,Western Metropolitan
605100,Western Metropolitan
880000,Western Metropolitan
577000,Western Metropolitan
1058286,Western Metropolitan
1030000,Western Metropolitan
605000,Western Metropolitan
685000,Western Metropolitan
587398,Western Metropolitan
753000,Western Metropolitan
857000,Western Metropolitan
1500000,Western Metropolitan
730000,Western Metropolitan
900000,Western Metropolitan
740000,Western Metropolitan
931000,Western Metropolitan
535600,Western Metropolitan
767212,Western Metropolitan
1085000,Western Metropolitan
781000,Western Metropolitan
857500,Western Metropolitan
960000,Western Metropolitan
750000,Western Metropolitan
421000,Western Metropolitan
1405000,Western Metropolitan
524875,Western Metropolitan
683000,Western Metropolitan
767212,Western Metropolitan
623000,Western Metropolitan
720000,Western Metropolitan
780000,Western Metropolitan
720000,Western Metropolitan
705000,Western Metropolitan
588000,Western Metropolitan
720000,Western Metropolitan
710000,Western Metropolitan
550000,Western Metropolitan
640000,Western Metropolitan
537500,Western Metropolitan
877278,Western Metropolitan
875000,Western Metropolitan
800000,Western Metropolitan
713500,Western Metropolitan
877278,Western Metropolitan
700000,Western Metropolitan
551000,Western Metropolitan
685000,Western Metropolitan
640000,Western Metropolitan
650000,Western Metropolitan
925000,Western Metropolitan
767212,Western Metropolitan
524875,Western Metropolitan
670000,Western Metropolitan
680000,Western Metropolitan
765000,Western Metropolitan
675000,Western Metropolitan
708000,Western Metropolitan
656000,Western Metropolitan
883000,Western Metropolitan
965000,Western Metropolitan
870000,Western Metropolitan
681000,Western Metropolitan
522500,Western Metropolitan
972000,Western Metropolitan
590000,Western Metropolitan
450000,Western Metropolitan
765000,Western Metropolitan
750000,Western Metropolitan
680000,Western Metropolitan
510000,Western Metropolitan
770000,Western Metropolitan
923000,Western Metropolitan
693000,Western Metropolitan
620000,Western Metropolitan
800000,Western Metropolitan
728500,Western Metropolitan
931000,Western Metropolitan
