Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname,Propertycount
Abbotsford,68 Studley St,2,h,937432,SS,Jellis,2016-09-03T00:00:00Z,2.5,3067,2,1,1,126,1953,Yarra,Northern Metropolitan,4019
Abbotsford,85 Turner St,2,h,1480000,S,Biggin,2016-12-03T00:00:00Z,2.5,3067,2,1,1,202,1953,Yarra,Northern Metropolitan,4019
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,2016-02-04T00:00:00Z,2.5,3067,2,1,0,156,1900,Yarra,Northern Metropolitan,4019
Abbotsford,18/659 Victoria St,3,u,1237083,VB,Rounds,2016-02-04T00:00:00Z,2.5,3067,3,2,1,0,1952,Yarra,Northern Metropolitan,4019
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,2017-03-04T00:00:00Z,2.5,3067,3,2,0,134,1900,Yarra,Northern Metropolitan,4019
Abbotsford,40 Federation La,3,h,850000,PI,Biggin,2017-03-04T00:00:00Z,2.5,3067,3,2,1,94,1952,Yarra,Northern Metropolitan,4019
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,2016-06-04T00:00:00Z,2.5,3067,3,1,2,120,2014,Yarra,Northern Metropolitan,4019
Abbotsford,16 Maugie St,4,h,1596400,SN,Nelson,2016-08-06T00:00:00Z,2.5,3067,3,2,2,400,2006,Yarra,Northern Metropolitan,4019
Abbotsford,53 Turner St,2,h,937432,S,Biggin,2016-08-06T00:00:00Z,2.5,3067,4,1,2,201,1900,Yarra,Northern Metropolitan,4019
Abbotsford,99 Turner St,2,h,937432,S,Collins,2016-08-06T00:00:00Z,2.5,3067,3,2,1,202,1900,Yarra,Northern Metropolitan,4019
Abbotsford,129 Charles St,2,h,941000,S,Jellis,2016-05-07T00:00:00Z,2.5,3067,2,1,0,181,1953,Yarra,Northern Metropolitan,4019
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,2016-05-07T00:00:00Z,2.5,3067,4,2,0,245,1910,Yarra,Northern Metropolitan,4019
Abbotsford,121/56 Nicholson St,2,u,937432,PI,Biggin,2016-11-07T00:00:00Z,2.5,3067,2,2,1,4292,2009,Yarra,Northern Metropolitan,4019
Abbotsford,17 Raphael St,4,h,1596400,W,Biggin,2016-11-07T00:00:00Z,2.5,3067,6,2,0,230,1860,Yarra,Northern Metropolitan,4019
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,2016-10-08T00:00:00Z,2.5,3067,2,1,2,256,1890,Yarra,Northern Metropolitan,4019
Abbotsford,217 Langridge St,3,h,1000000,S,Jellis,2016-10-08T00:00:00Z,2.5,3067,3,2,1,331,1952,Yarra,Northern Metropolitan,4019
