LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
Australia,HOUSECOST,NOMINAL,IDX2015,A,1970,2.552379708,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1971,2.851352119,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1972,3.183667177,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1973,3.837183079,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1974,4.690199158,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1975,5.202008806,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1976,5.793840808,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1977,6.267862121,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1978,6.590174386,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1979,7.4604175,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1980,8.434578533,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1981,9.707711978,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1982,10.05503123,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1983,10.6296362,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1984,11.85386709,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1985,13.06198237,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1986,13.97025288,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1987,14.77893221,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1988,18.1088388,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1989,22.58760271,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1990,22.93364407,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1991,23.52883521,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1992,23.88871823,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1993,24.51159268,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1994,25.38954905,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1995,25.69604283,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1996,25.90366764,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1997,26.94179173,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1998,28.92114832,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,1999,31.01914766,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,2000,33.59567277,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,2001,37.3685123,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,2002,44.37238946,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,2003,52.37565666,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,2004,55.647,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,2005,56.66475,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,2006,60.5795,NA
Australia,HOUSECOST,NOMINAL,IDX2015,A,2007,66.96025,NA
